,site_name,site_url,park_name,park_url,season_of_use,fee_info,contact_info,info_center,latitude,longitude,directions,restrooms,water,overview,amenities,body_of_water
10,Jane's Reservoir Campground,https://www.fs.usda.gov/r05/modoc/recreation/janes-reservoir-campground,Modoc National Forest,https://www.fs.usda.gov/r05/modoc,Facilities open as weather permits; usually mid-May to late October.,"No fees are required for this site
No fee.",,,41.880158,-120.76286,"From Alturas travel west on Hwy 299, 3 miles. Turn north on Crowder Flat Rd/County Road 73, and travel approximately 29 miles to Jane's Reservoir turnoff on the left.",Restrooms are available at this site.,Potable water is not available at this site.,,,True
11,Lassen Creek Campground,https://www.fs.usda.gov/r05/modoc/recreation/lassen-creek-campground,Modoc National Forest,https://www.fs.usda.gov/r05/modoc,Facilities open as weather permits; usually mid -May to late October.,No fees are required for this site,,,41.826669,-120.29643,From Alturas go north on US Hwy 395 approximately 20 miles to Davis Creek. Turn east on County Road 11 and continue approximately 9 miles to County Road 30/Modoc Backcountry Discovery Trail and turn left/north. Continue north approximately 15 miles to the campground on the right.,Restrooms are available at this site.,Potable water is not available at this site.,,,False
12,Lava Camp Campground,https://www.fs.usda.gov/r05/modoc/recreation/lava-camp-campground,Modoc National Forest,https://www.fs.usda.gov/r05/modoc,Facilities open as weather permits,None,,,41.40277778,-121.3372222,,Restrooms are not available at this site.,Potable water is not available at this site.,,,False
13,Lower Rush Creek Campground,https://www.fs.usda.gov/r05/modoc/recreation/lower-rush-creek-campground,Modoc National Forest,https://www.fs.usda.gov/r05/modoc,Facilities open as weather permits; Campground is inaccessible during inclement weather. Use Caution,"No fees are required for this site
No Fee",,,41.29333333,-120.8780556,From Adin travel north on Hwy139/299 7.6 miles to County Road 198. Turn right on County Road 198 and go .1 mile to Rush Creek Dr/Lower Rush Creek Road. Turn left and continue on .5 miles to Lower Rush Creek Campground.,Restrooms are available at this site.,Potable water is not available at this site.,,,False
14,Mill Creek Falls Campground,https://www.fs.usda.gov/r05/modoc/recreation/mill-creek-falls-campground,Modoc National Forest,https://www.fs.usda.gov/r05/modoc,Facilities open as weather permits; usually early June to late October.,"Overnight Use:
Single Site: $15 per night
Additional Vehicle Fee: $5 per vehicle per night
$15/single campsite per day with a maximum of 2 vehicles.",,,41.27666667,-120.2880556,"From Alturas go south on US Hwy 395 approximately 18 miles to Likely, CA. Turn east on County Road 64/Jess Valley Rd and go 3.2 miles to Blue Lake Road and West Warner Road. Turn left (northeast) on West Warner Road for 2.5 miles to Mill Creek Road. Turn right and follow the signs to Mill Creek Falls Campground.",Restrooms are available at this site.,Potable water is available at this site.,,,True
15,Patterson Campground,https://www.fs.usda.gov/r05/modoc/recreation/patterson-campground,Modoc National Forest,https://www.fs.usda.gov/r05/modoc,Facilities open as weather permits; usually mid-May to late October.,"No fees are required for this site
$15/single campsite per day with a maximum of 2 vehicles.",,,41.19805556,-120.1861111,"From Alturas go south on US Hwy 395 approximately 18 miles to Likely, CA. Turn east on County Road 64/Jess Valley Rd and go 3.2 miles to Blue Lake Road. Turn right on Blue Lake Road/ County Rd 64 and continue approximately 7 miles to the turnoff for Blue Lake. Turn left and stay on County Road 64 (instead of a right turn to Blue Lake) and continue 8 more miles of windy road to the Patterson Campground and Guard Station.",Restrooms are available at this site.,Potable water is available at this site.,,,False
16,Payne Springs Campground,https://www.fs.usda.gov/r05/modoc/recreation/payne-springs-campground,Modoc National Forest,https://www.fs.usda.gov/r05/modoc,Facilities open as weather permits; usually early July to late October.,No fees are required for this site,,,41.55472222,-121.5608333,"From McCloud go east on US Hwy 89 south for 16 miles to Forest Service Road 15/Harris Spring Rd. Turn left on Road 15 and go 4.4 miles to Forest Service Road 49/Medicine Lake Road. Follow the signs 24 miles toward Medicine Lake. Turn right on 43N17 and follow the signs to Blanche Lake, Bullseye and Payne Springs. From Tulelake travel south 24 miles on State Hwy 139 to County Road 97. Turn west on County Road 97 past Tionesta and go approx. 22 miles to Forest Service Road 43N75. Turn left on Road 43N75 and go 1.8 miles to Forest Service Road 43N17. Turn left and follow the signs to the campground.",Restrooms are available at this site.,Potable water is not available at this site.,,,False
17,Pepperdine Campground,https://www.fs.usda.gov/r05/modoc/recreation/pepperdine-campground,Modoc National Forest,https://www.fs.usda.gov/r05/modoc,Facilities open as weather permits; usually early July to late October.,"No fees are required for this site
$15/single campsite per day with a maximum of 2 vehicles.",,,41.45027778,-120.2408333,"From Alturas, head east 13 miles on County Road 56 to the Modoc National Forest Boundary. The number changes to Forest Service Road 31/ Parker Creek Road. Continue 6 miles on Road 31 to the campground entrance road on the right.",Restrooms are available at this site.,Potable water is not available at this site.,,,False
18,Pepperdine Equestrian Campground,https://www.fs.usda.gov/r05/modoc/recreation/pepperdine-equestrian-campground,Modoc National Forest,https://www.fs.usda.gov/r05/modoc,Facilities open as weather permits; usually early July to late October.,"No fees are required for this site
$15/single campsite per day with a maximum of 2 vehicles.",,,41.45027778,-120.2408333,"From Alturas, head east 13 miles on County Road 56 to the Modoc National Forest Boundary. The number changes to Forest Service Road 31/ Parker Creek Road. Continue 6 miles on Road 31 to the campground entrance road on the right.",Restrooms are available at this site.,Potable water is available at this site.,,,False
19,Plum Valley Campground,https://www.fs.usda.gov/r05/modoc/recreation/plum-valley-campground,Modoc National Forest,https://www.fs.usda.gov/r05/modoc,May - Oct,none,,,41.7125,-120.3258333,,Restrooms are not available at this site.,Potable water is not available at this site.,,,False
20,Reservoir C Campground,https://www.fs.usda.gov/r05/modoc/recreation/reservoir-c-campground,Modoc National Forest,https://www.fs.usda.gov/r05/modoc,Facilities open as weather permits; usually mid-May to late October.,No fee.,,,41.66027778,-120.7738889,"From Alturas travel west on Hwy 299, 3 miles. Turn north on Crowder Flat Rd/County Road 73, and travel 9.6 miles to Forest Road 43N18. Turn left on 43N18 and continue approximately 7 miles and follow the signs to Reservoir C Campground.",Restrooms are available at this site.,Potable water is not available at this site.,,,True
21,Reservoir F Campground,https://www.fs.usda.gov/r05/modoc/recreation/reservoir-f-campground,Modoc National Forest,https://www.fs.usda.gov/r05/modoc,Facilities open as weather permits; usually mid-May to late October.,No fee.,,,41.586498,-120.87791,"From Alturas travel west on Hwy 299, 3 miles. Turn north on Crowder Flat Rd/County Road 73, and travel 9.6 miles to Forest Road 43N18. Turn left on 43N18 and continue approximately 20 miles and follow the signs to Reservoir F Campground and Boating Site.",Restrooms are available at this site.,Potable water is not available at this site.,,,True
22,Schonchin Springs Campground,https://www.fs.usda.gov/r05/modoc/recreation/schonchin-springs-campground,Modoc National Forest,https://www.fs.usda.gov/r05/modoc,Facilities open as weather permits; usually early July to late October.,"No fees are required for this site
$10/single campsite per night.",,"Doublehead Ranger District
Address:
49870 State Hwy 139 Tulelake, CA 96134
Phone:
(530) 667-2246 FAX: (530) 667-8609
Hours:
Monday & Tuesday 8:00 AM - 4:30 PM  (Closed on
federal holidays
)
Office Email:
sm.fs.modoc_info@usda.gov",41.59194444,-121.6166667,From McCloud go east on US Hwy 89 south for 16 miles to Forest Service Road 15/Harris Spring Rd. Turn left on Road 15 and go 4.4 miles to Forest Service Road 49/Medicine Lake Road. Follow the signs 27.5 miles to Medicine Lake. Drive past the entrance to Headquarters Campground and take the first right and then the first left. Continue on approximately 1/2 mile to the campground.Map to Medicine Lake.,Restrooms are not available at this site.,Potable water is not available at this site.,,,False
23,Soup Springs Campground,https://www.fs.usda.gov/r05/modoc/recreation/soup-springs-campground,Modoc National Forest,https://www.fs.usda.gov/r05/modoc,Facilities open as weather permits; usually early June to late October.,"Overnight Use:
Single Site: $15 per night
Additional Vehicle Fee: $5 per vehicle per night
$15/single campsite per day with a maximum of 2 vehicles.",,,41.30916667,-120.2772222,"From Alturas go south on US Hwy 395 approximately 18 miles to Likely, CA. Turn east on County Road 64/Jess Valley Rd and go 3.2 miles to Blue Lake Road and West Warner Road. Turn left (northeast) on West Warner Road for 5 miles to Forest Road 40N24. Turn right on 40N24 and go 4.5 miles to the campground.",Restrooms are available at this site.,6/20/2025: Water not potable yet.,,,False
24,Stough Reservoir Campground,https://www.fs.usda.gov/r05/modoc/recreation/stough-reservoir-campground,Modoc National Forest,https://www.fs.usda.gov/r05/modoc,Facilities open as weather permits; usually mid-May to late October.,"No fees are required for this site
Maximum of 2 vehicles per site.",,,41.56222222,-120.2541667,From Alturas go north 5 miles on US Hwy 395 to Hwy 299. Turn east on Hwy 299 toward Cedarville and go approximately 13 miles to Forest Road 43N07. Turn north and the campground is 1 mile on the left.,Restrooms are available at this site.,Potable water is available at this site.,,,True
25,Upper Rush Creek Campground,https://www.fs.usda.gov/r05/modoc/recreation/upper-rush-creek-campground,Modoc National Forest,https://www.fs.usda.gov/r05/modoc,Facilities open as weather permits,None,,,41.30111111,-120.8502778,,Restrooms are not available at this site.,Potable water is not available at this site.,,,False
26,Willow Creek Campground,https://www.fs.usda.gov/r05/modoc/recreation/willow-creek-campground,Modoc National Forest,https://www.fs.usda.gov/r05/modoc,Facilities open as weather permits; usually mid-May to late October.,"Overnight Use:
Single Site: $15 per night
Additional Vehicle Fee: $5 per vehicle per night
$15/single campsite per day with a maximum of 2 vehicles.",,,41.01305556,-120.8280556,From Adin go south on Hwy 139 approximately 14 miles and the campground is on the left just past the picnic area. From Susanville it's about 53 miles north on Hwy 139.,Restrooms are available at this site.,Potable water is not available at this site.,,,False
