,site_name,site_url,park_name,park_url,season_of_use,fee_info,contact_info,info_center,latitude,longitude,directions,restrooms,water,overview,amenities
10,Glenn Camp Campground (Hike or bike in 7 miles),https://www.fs.usda.gov/r05/angeles/recreation/glenn-camp-campground-hike-or-bike-7-miles,Angeles National Forest,https://www.fs.usda.gov/r05/angeles,Year-round,"Overnight Use:
Single Site: $5/night.
Interagency Senior/Access Recreation Passes provide a 50% discount to Single Campsites ONLY.
*The discount applies only to the fee for the campsite physically occupied by the pass holder, not to any additional fee or campsite(s) occupied by members of the pass holder's party.*
https://store.usgs.gov/recreational-passes
Day Use: $5/vehicle/day.
Adventure Passes are Honored for Day Use: $30/annual; $5/secondary annual.
https://www.fs.usda.gov/detailfull/r5/passes-permits/?cid=stelprdb5208699&width=full
Interagency Recreation Passes are Honored for Day Use.
store.usgs.gov/recreational-passes
Please be prepared to pay with CASH or CHECK.
*Sites may be reservable and reservation fees apply.*
Adventure Pass ($5/vehicle/day) or America the Beautiful Pass required.",,"San Gabriel Mountains National Monument
Address:
110 N. Wabash Avenue Glendora, CA 91741
Phone:
(626) 335-1251
Hours:
Open Monday-Friday from 8 a.m. - 4:30 p.m. Closed daily from 1 - 1:30 p.m. for lunch. (Closed on
federal holidays
)",34.24083333,-117.9516667,"From Interstate 210 in Azusa, exit Azusa Ave. Drive 12 miles north on San Gabriel Can. Rd. (Hwy. 39) to the trailhead at the West Fork of the San Gabriel River.",Restrooms are not available at this site.,Potable water is not available at this site.,,
11,Guffy Campground,https://www.fs.usda.gov/r05/angeles/recreation/guffy-campground,Angeles National Forest,https://www.fs.usda.gov/r05/angeles,,"Fees: Camping -
No camping fee but an Adventure Pass or America the Beautiful Pass is required
Day-use -
Adventure Pass/America the Beautiful Pass required Adventure Pass = $5/day or $30/year",,,34.34166667,-117.6544444,,Restrooms are available at this site.,Potable water is not available at this site.,,
12,Horse Flat Campground,https://www.fs.usda.gov/r05/angeles/recreation/horse-flat-campground,Angeles National Forest,https://www.fs.usda.gov/r05/angeles,,"Overnight Use:
Single Site: $20/night.
Additional Vehicle: $5/night.
Vehicle Parked Outside Campground: $20/night.
Interagency Senior/Access Recreation Passes provide a 50% discount to Single Campsites ONLY.
*The discount applies only to the fee for the campsite physically occupied by the pass holder, not to any additional fee or campsite(s) occupied by members of the pass holder's party.*
https://store.usgs.gov/recreational-passes
Day Use: $5/vehicle/day.
Adventure Passes are Honored for Day Use: $30/annual; $5/secondary annual.
https://www.fs.usda.gov/detailfull/r5/passes-permits/?cid=stelprdb5208699&width=full
Interagency Recreation Passes are Honored for Day Use.
store.usgs.gov/recreational-passes
Please be prepared to pay with CASH or CHECK.
*Sites may be reservable and reservation fees apply.*",,,34.34277778,-118.01001,"Location: From Interstate 210 in La Canada, exit at Angeles Crest Highway. (Hwy. 2) and drive 29 miles to the intersection with the Santa Clara Divide Rd. (3N17) at Three Points (watch for the sign). Turn to the south and drive 3 miles to the campground.",Restrooms are available at this site.,Potable water is not available at this site.,,
13,Jackson Flat Group Campground,https://www.fs.usda.gov/r05/angeles/recreation/jackson-flat-group-campground,Angeles National Forest,https://www.fs.usda.gov/r05/angeles,Late April/early May,"Group Tent Only Area Nonelectric Sites 1 2 3 = $230.00
Group Tent Only Area Nonelectric Sites 4 5 = $180.00",,,34.36666667,-117.7333333,,Restrooms are available at this site.,Potable water is not available at this site.,,
14,Lake Campground,https://www.fs.usda.gov/r05/angeles/recreation/lake-campground,Angeles National Forest,https://www.fs.usda.gov/r05/angeles,Spring,"Reservations through Recreation.gov.
This site is operated by Mountain High Resort. A Big Pines Pass from Mountain High Resort is required when parking here. The Adventure Pass and any of the Interagency Passes are not honored here. More info:
www.mthigh.com/site/connect/blog/authors/john_mccolly/introducing-the-big-pines-pass",,,34.39111111,-117.7222222,,Restrooms are available at this site.,No water during winter months,,
15,Lightning Point Group Campground,https://www.fs.usda.gov/r05/angeles/recreation/lightning-point-group-campground,Angeles National Forest,https://www.fs.usda.gov/r05/angeles,"The area is behind a locked gate, and is available for use starting the 3rd weekend in April through October 31 (weather-permitting). Sites 5 and 6 will only be available May 1 through October 31.",,,"Los Angeles Gateway District
Address:
12371 N. Little Tujunga Canyon Road San Fernando, CA 91342
Phone:
(818) 899-1900
Hours:
Open Monday- Friday: 8 a.m. - 4:30 p.m. Closed 1 p.m. - 1:30 p.m. for lunch. (Closed on
federal holidays
)",34.37194444,-118.1830556,"From Interstate 210 in La Canada, exit onto the Angeles Crest Highway (HWY2) and drive northeast for approximately 10 miles to the intersection of the Angeles Crest Highway and the Angeles Forest Highway (County Road N3). Turn left (north) on to the Angeles Forest Highway and drive approximately 12 miles to the Santa Clara Divide Road at Mill Creek Summit. Turn left (west) onto the Santa Clara Divide and continue for approximately 11 miles to the campground.",Restrooms are available at this site.,Potable water is not available at this site.,,
16,Los Alamos Campground,https://www.fs.usda.gov/r05/angeles/recreation/los-alamos-campground,Angeles National Forest,https://www.fs.usda.gov/r05/angeles,Year-round,"Standard sites $20 per night,Premium sites $35, plus $10 reservation fee.
January 01, 2025 - February 28, 2025
(Non-Peak Season)
Standard Nonelectric
$26.00
Standard Nonelectric
$45.00
Group Standard Nonelectric
1 - 25 people: $110.00
26 - max people: $160.00
March 01, 2025 - September 30, 2025
(Peak Season)
Standard Nonelectric
$26.00
Standard Nonelectric
$45.00
Group Standard Nonelectric
1 - 25 people: $110.00
26 - max people: $160.00
October 01, 2025 - December 31, 2025
(Non-Peak Season)
Standard Nonelectric
$26.00
Standard Nonelectric
$45.00
Group Standard Nonelectric
1 - 25 people: $110.00
26 - max people: $160.00","Contact Name:
Pyramid Lake
Contact Phone:
(661) 295-7155","Los Angeles Gateway District
Address:
12371 N. Little Tujunga Canyon Road San Fernando, CA 91342
Phone:
(818) 899-1900
Hours:
Open Monday- Friday: 8 a.m. - 4:30 p.m. Closed 1 p.m. - 1:30 p.m. for lunch. (Closed on
federal holidays
)",34.70277778,-118.8088889,"Adjacent to Interstate 5, 20 miles north of Valencia. Take Smokey Bear exit, drive west and follow signs to campground.",Restrooms are available at this site.,Potable water is available at this site.,,
17,Lupine Campground,https://www.fs.usda.gov/r05/angeles/recreation/lupine-campground,Angeles National Forest,https://www.fs.usda.gov/r05/angeles,Spring,"$5/vehicle/day, $30/vehicle/year",,,34.32916667,-117.6672222,"From Angeles Crest Highway (Hwy. 2), approx. 5 miles west of Wrightwood, take Blue Ridge Road to campground.",Restrooms are available at this site.,Potable water is not available at this site.,,
18,Manker Flat Campground,https://www.fs.usda.gov/r05/angeles/recreation/manker-flat-campground,Angeles National Forest,https://www.fs.usda.gov/r05/angeles,Spring,"Overnight Use:
Single Site: $20/night.
Additional Vehicle: $5/night.
Interagency Senior/Access Recreation Passes provide a 50% discount to Single Campsites ONLY.
*The discount applies only to the fee for the campsite physically occupied by the pass holder, not to any additional fee or campsite(s) occupied by members of the pass holder's party.*
https://store.usgs.gov/recreational-passes
Day Use: $5/vehicle/day.
Adventure Passes are Honored for Day Use: $30/annual; $5/secondary annual.
https://www.fs.usda.gov/detailfull/r5/passes-permits/?cid=stelprdb5208699&width=full
Interagency Recreation Passes are Honored for Day Use.
store.usgs.gov/recreational-passes
Please be prepared to pay with CASH or CHECK.
*Sites may be reservable and reservation fees apply.*
Camping -  Fee will increase to $20 per vehicle (8 people per site) per night on May 1, 2025. $5 per extra vehicle.
50% discounts given for Senior or Accessible America the Beautiful Pass holders. (Adventure Pass not accepted in-lieu of camping fee.)
*Place cash/check/money order in the envelope provided and put it in the fee tube. Make checks and money orders payable to ""USDA Forest Service.""*",,"San Gabriel Mountains National Monument
Address:
110 N. Wabash Avenue Glendora, CA 91741
Phone:
(626) 335-1251
Hours:
Open Monday-Friday from 8 a.m. - 4:30 p.m. Closed daily from 1 - 1:30 p.m. for lunch. (Closed on
federal holidays
)",34.26501,-117.6308333,"Location: From Foothill Blvd. in Claremont, take Mills Ave. until it turns into Mt. Baldy Road. Drive 12 miles north on Mt. Baldy Rd. passed Mt. Baldy Village to the campground. (Note: Foothill can be reached by taking Mountain Ave. north from the 10 freeway). Call (626) 335-1251 for current conditions and additional information.",Restrooms are available at this site.,Potable water is not available at this site.,,
19,Messenger Flats Campground,https://www.fs.usda.gov/r05/angeles/recreation/messenger-flats-campground,Angeles National Forest,https://www.fs.usda.gov/r05/angeles,,"Overnight Use:
Single Site: $5/night.
Interagency Senior/Access Recreation Passes provide a 50% discount to Single Campsites ONLY.
*The discount applies only to the fee for the campsite physically occupied by the pass holder, not to any additional fee or campsite(s) occupied by members of the pass holder's party.*
https://store.usgs.gov/recreational-passes
Day Use: $5/vehicle/day.
Adventure Passes are Honored for Day Use: $30/annual; $5/secondary annual.
https://www.fs.usda.gov/detailfull/r5/passes-permits/?cid=stelprdb5208699&width=full
Interagency Recreation Passes are Honored for Day Use.
store.usgs.gov/recreational-passes
Please be prepared to pay with CASH or CHECK.
*Sites may be reservable and reservation fees apply.*",,"Los Angeles Gateway District
Address:
12371 N. Little Tujunga Canyon Road San Fernando, CA 91342
Phone:
(818) 899-1900
Hours:
Open Monday- Friday: 8 a.m. - 4:30 p.m. Closed 1 p.m. - 1:30 p.m. for lunch. (Closed on
federal holidays
)",34.38001,-118.1888889,Location: From Interstate 210 in La Canada exit at Angeles Crest Hwy (Hwy. 2) and drive north for 9 miles. Turn left onto the Angeles Forest Hwy (County Rd. N3) and drive about 12 miles to Mill Creek Summit. Turn left on Santa Clara Divide Rd. and continue 12 miles to the campground.,Restrooms are available at this site.,"There is no water available. Please bring enough water for cooking, cleaning, drinking, and extinguishing campfires.",,
20,Monte Cristo Campground,https://www.fs.usda.gov/r05/angeles/recreation/monte-cristo-campground,Angeles National Forest,https://www.fs.usda.gov/r05/angeles,Year-round,"Monte Cristo Campground recently underwent a completerenovation. All campsites in the campground were totally revamped during the renovation. There are now 19 individual camp sites with sites #6 and #7 as double sites. In order to ensure fee compliance site #6 was designated as #6A and #6B; and site #7 was designated as #7A and #7B. This is to inform the public if both A and B sites are occupied at #6 and #7, campers will be required to pay double to occupy the double sites.
Camping -  Fee will increase to $20 per vehicle (8 people per site) per night on May 1, 2025. $5 per extra vehicle.
50% discounts given for Senior or Accessible America the Beautiful Pass holders. (Adventure Pass not accepted in-lieu of camping fee.)
*Place cash/check/money order in the envelope provided and put it in the fee tube. Make checks and money orders payable to ""USDA Forest Service.""*",,"Acton Work Center
Address:
33708 Crown Valley Road Acton, CA 93510
Phone:
(661) 269-2808
Hours:
Open Monday, Tuesday, and Friday: 8 a.m. - 4:30 p.m.  Closed 1 p.m. - 1:30 p.m. for lunch. (Closed on
federal holidays
)",34.34277778,-118.1097222,"Location: From Interstate 210 in Pasadena, exit the Angeles Crest Highway (Hwy. 2) and drive north for 9 miles. Turn left onto the Angeles Forest Highway (County Rd. N3) and drive about 9 miles to the campground. May also be reached from the Sunland area by taking Big Tujunga Canyon Rd. and turning left at the Angeles Forest Highway, or taking the Angeles Forest Highway from the Palmdale area.",Restrooms are available at this site.,Potable water is available at this site.,,
21,Mountain Oak Campground,https://www.fs.usda.gov/r05/angeles/recreation/mountain-oak-campground,Angeles National Forest,https://www.fs.usda.gov/r05/angeles,Spring,"Reservations through Recreation.gov.
This site is operated by Mountain High Resort. A Big Pines Pass from Mountain High Resort is required when parking here. The Adventure Pass and any of the Interagency Passes are not honored here. For more information visit www.mthigh.com/site/connect/blog/authors/john_mccolly/introducing-the-big-pines-pass OR call Mountain High Resort at (888) 754-7878.","Contact Name:
Mountain High Resort
Contact Phone:
(760) 316-7828","Acton Work Center
Address:
33708 Crown Valley Road Acton, CA 93510
Phone:
(661) 269-2808
Hours:
Open Monday, Tuesday, and Friday: 8 a.m. - 4:30 p.m.  Closed 1 p.m. - 1:30 p.m. for lunch. (Closed on
federal holidays
)",34.39501,-117.7286111,,Restrooms are available at this site.,Potable water is available at this site.,,
22,Mt. Pacifico Campground,https://www.fs.usda.gov/r05/angeles/recreation/mt-pacifico-campground,Angeles National Forest,https://www.fs.usda.gov/r05/angeles,,"Adventure Pass Required $5/day or $30/year. Interagency Passes also accepted. For more information, please visit our
recreation pass page
.",,,34.3825,-118.0338889,"Location: From Interstate 210 in Pasadena, exit onto the Angeles Crest Highway (Hwy.2) and drive north for 9 miles. Turn left onto the Angeles Forest Hwy. (County Rd. N3) and drive about 12 miles to the intersection with Santa Clara Divide Rd. at Mill Creek Summit (there is a sign). Turn right and drive about 6 miles to the signed gate. Turn left and take the dirt road for 4 miles to the campground. The gate is locked in the winter when the road is impassable. Walk in at that time. May also be reached from the Sunland area by taking Big Tujunga Canyon Rd. and turning left at the Angeles Forest Highway, or by taking the Angeles Forest Highway from the Palmdale area.",Restrooms are available at this site.,Potable water is not available at this site.,,
23,Oak Flat Campground,https://www.fs.usda.gov/r05/angeles/recreation/oak-flat-campground,Angeles National Forest,https://www.fs.usda.gov/r05/angeles,Year-round,"Overnight Use:
Single Site: $5/night.
Interagency Senior/Access Recreation Passes provide a 50% discount to Single Campsites ONLY.
*The discount applies only to the fee for the campsite physically occupied by the pass holder, not to any additional fee or campsite(s) occupied by members of the pass holder's party.*
https://store.usgs.gov/recreational-passes
Day Use: $5/vehicle/day.
Adventure Passes are Honored for Day Use: $30/annual; $5/secondary annual.
https://www.fs.usda.gov/detailfull/r5/passes-permits/?cid=stelprdb5208699&width=full
Interagency Recreation Passes are Honored for Day Use.
store.usgs.gov/recreational-passes
Please be prepared to pay with CASH or CHECK.
*Sites may be reservable and reservation fees apply.*",,"Los Angeles Gateway District
Address:
12371 N. Little Tujunga Canyon Road San Fernando, CA 91342
Phone:
(818) 899-1900
Hours:
Open Monday- Friday: 8 a.m. - 4:30 p.m. Closed 1 p.m. - 1:30 p.m. for lunch. (Closed on
federal holidays
)",34.60001,-118.7222222,"From Castaic, drive 6 miles north on Interstate 5. Turn left on Templin Highway and go under the freeway. Drive northwest for 3 miles to campground.",Restrooms are available at this site.,Potable water is not available at this site.,,
24,Peavine Campground,https://www.fs.usda.gov/r05/angeles/recreation/peavine-campground,Angeles National Forest,https://www.fs.usda.gov/r05/angeles,,"This site is operated by Mountain High Resort. A Big Pines Pass from Mountain High Resort is required when parking here. The Adventure Pass and any of the Interagency Passes are not honored here. Camping fee can be paid with the campground host at Mt. Oak Campground.
More Info:
Call Mountain High Resort at (760) 316-7828.",,,34.38944444,-117.7194444,,Restrooms are available at this site.,Potable water is not available at this site.,,
25,Rocky Point Picnic Site,https://www.fs.usda.gov/r05/angeles/recreation/rocky-point-picnic-site,Angeles National Forest,https://www.fs.usda.gov/r05/angeles,,"$5/vehicle/day, $30/vehicle/year",,,34.47361111,-118.02501,,Restrooms are available at this site.,Potable water is not available at this site.,,
26,Sage Picnic Site,https://www.fs.usda.gov/r05/angeles/recreation/sage-picnic-site,Angeles National Forest,https://www.fs.usda.gov/r05/angeles,,"$5/vehicle/day, $30/vehicle/year",,,34.46944444,-118.02501,,Restrooms are available at this site.,Potable water is not available at this site.,,
27,Sawmill Campground,https://www.fs.usda.gov/r05/angeles/recreation/sawmill-campground,Angeles National Forest,https://www.fs.usda.gov/r05/angeles,,"Overnight Use:
Single Site: $5/night.
Interagency Senior/Access Recreation Passes provide a 50% discount to Single Campsites ONLY.
*The discount applies only to the fee for the campsite physically occupied by the pass holder, not to any additional fee or campsite(s) occupied by members of the pass holder's party.*
https://store.usgs.gov/recreational-passes
Day Use: $5/vehicle/day.
Adventure Passes are Honored for Day Use: $30/annual; $5/secondary annual.
https://www.fs.usda.gov/detailfull/r5/passes-permits/?cid=stelprdb5208699&width=full
Interagency Recreation Passes are Honored for Day Use.
store.usgs.gov/recreational-passes
Please be prepared to pay with CASH or CHECK.
*Sites may be reservable and reservation fees apply.*",,"Los Angeles Gateway District
Address:
12371 N. Little Tujunga Canyon Road San Fernando, CA 91342
Phone:
(818) 899-1900
Hours:
Open Monday- Friday: 8 a.m. - 4:30 p.m. Closed 1 p.m. - 1:30 p.m. for lunch. (Closed on
federal holidays
)",34.70138889,-118.5716667,,Restrooms are available at this site.,"Please bring enough water for cooking, cleaning, drinking, and extinguishing campfires.",,
28,Southfork Campground,https://www.fs.usda.gov/r05/angeles/recreation/southfork-campground,Angeles National Forest,https://www.fs.usda.gov/r05/angeles,,Adventure Pass/America the Beautiful Pass required.,,,34.39444444,-117.8188889,,Restrooms are available at this site.,Potable water is not available at this site.,,
29,Spring Camp Campground,https://www.fs.usda.gov/r05/angeles/recreation/spring-camp-campground,Angeles National Forest,https://www.fs.usda.gov/r05/angeles,Year-round,"Overnight Use:
Single Site: $5/night.
Interagency Senior/Access Recreation Passes provide a 50% discount to Single Campsites ONLY.
*The discount applies only to the fee for the campsite physically occupied by the pass holder, not to any additional fee or campsite(s) occupied by members of the pass holder's party.*
https://store.usgs.gov/recreational-passes
Day Use: $5/vehicle/day.
Adventure Passes are Honored for Day Use: $30/annual; $5/secondary annual.
https://www.fs.usda.gov/detailfull/r5/passes-permits/?cid=stelprdb5208699&width=full
Interagency Recreation Passes are Honored for Day Use.
store.usgs.gov/recreational-passes
Please be prepared to pay with CASH or CHECK.
*Sites may be reservable and reservation fees apply.*
Adventure Pass or America the Beautiful Pass required.
Information & Pass Sales",,"San Gabriel Mountains National Monument
Address:
110 N. Wabash Avenue Glendora, CA 91741
Phone:
(626) 335-1251
Hours:
Open Monday-Friday from 8 a.m. - 4:30 p.m. Closed daily from 1 - 1:30 p.m. for lunch. (Closed on
federal holidays
)",34.21527778,-117.9777778,"From Monrovia, go north on County Road 2N30, then west on County Road 2N24. These roads are rough.",Restrooms are not available at this site.,Potable water is not available at this site.,,
30,Sycamore Flat Campground,https://www.fs.usda.gov/r05/angeles/recreation/sycamore-flat-campground,Angeles National Forest,https://www.fs.usda.gov/r05/angeles,,"Adventure Pass Required $5/day or $30/year. Interagency Passes are also accepted. For more information, please visit our
recreation pass page
.",,,34.41305556,-117.8227778,,Restrooms are available at this site.,Potable water is not available at this site.,,
